,Unnamed: 0,label,text-neigh,label_num,text-rel,token,text-neigh-processed,text-rel-processed,text-neigh-tokens,text-rel-tokens
822,822,Capability,All of the emails contained the same Trojan.Dropper disguised,1,All of the emails contained the same Trojan.Dropper,reveal,email contain  dro-file disguis,email contain  dro-file,"['email', 'contain', 'dro-file', 'disguis']","['email', 'contain', 'dro-file']"
823,823,Capability,contained the same Trojan.Dropper disguised as an attachment with,1,the same Trojan.Dropper disguised as an attachment with the filename AVP.dll,contained,contain  dro-file disguis attach, dro-file disguis attach filenam  dll-file,"['contain', 'dro-file', 'disguis', 'attach']","['dro-file', 'disguis', 'attach', 'filenam', 'dll-file']"
824,824,Capability,The spear phishing emails came from 234 spoofed addresses.,1,The spear phishing emails came from 234 spoofed addresses,contained,spear phish email came 234 spoof addresses.,spear phish email came 234 spoof address,"['spear', 'phish', 'email', 'came', '234', 'spoof', 'addresses.']","['spear', 'phish', 'email', 'came', '234', 'spoof', 'address']"
825,825,Capability,234 spoofed addresses. They were made to appear to be,1,They were made to appear to be linked to the company in relation to the subject and attachment chosen,automatically run,234 spoof addresses. made appear,made appear link compani relat subject attach chosen,"['234', 'spoof', 'addresses.', 'made', 'appear']","['made', 'appear', 'link', 'compani', 'relat', 'subject', 'attach', 'chosen']"
826,826,Capability,manager. The emails all contained malicious attachments. None of,1,The emails all contained malicious attachments,used,manager. email contain malici attachments. none,email contain malici attach,"['manager.', 'email', 'contain', 'malici', 'attachments.', 'none']","['email', 'contain', 'malici', 'attach']"
827,827,Capability,"line Wage Data 2012 was used in 944 emails, sent",1,was used Wage Data 2012 in 944 emails,connect,line wage data  wa use 944 email sent,wa use wage data  944 email,"['line', 'wage', 'data', 'wa', 'use', '944', 'email', 'sent']","['wa', 'use', 'wage', 'data', '944', 'email']"
828,828,Capability,"used in 944 emails, sent from 26 different email",1,sent 944 emails from to 26 different email addresses targets in nine different sectors,download,use 944 email sent 26 differ email,sent 944 email 26 differ email address target nine differ sector,"['use', '944', 'email', 'sent', '26', 'differ', 'email']","['sent', '944', 'email', '26', 'differ', 'email', 'address', 'target', 'nine', 'differ', 'sector']"
829,829,Capability,over eight days and used the same infected Microsoft,1,The attack used the same infected Microsoft Word document in every instance,including,eight day use infect microsoft,attack use infect microsoft word document everi instanc,"['eight', 'day', 'use', 'infect', 'microsoft']","['attack', 'use', 'infect', 'microsoft', 'word', 'document', 'everi', 'instanc']"
830,830,Capability,phase. The attacker usually compromises the network by delivering,1,The attacker compromises the network,including,phase. attack usual compromis network deliv,attack compromis network,"['phase.', 'attack', 'usual', 'compromis', 'network', 'deliv']","['attack', 'compromis', 'network']"
831,831,Capability,compromises the network by delivering targeted malware to vulnerable,1,The attacker delivering targeted malware to vulnerable systems or employees,including,compromis network deliv target malwar vulner,attack deliv target malwar vulner system employe,"['compromis', 'network', 'deliv', 'target', 'malwar', 'vulner']","['attack', 'deliv', 'target', 'malwar', 'vulner', 'system', 'employe']"
832,832,Capability,"attack. One is to send spear phishing emails, where",1,send spear phishing emails,including,attack. one send spear phish email,send spear phish email,"['attack.', 'one', 'send', 'spear', 'phish', 'email']","['send', 'spear', 'phish', 'email']"
833,833,Capability,or a malicious attachment is delivered using social engineering techniques.,1,is delivered a link to a malicious website or a malicious attachment using social engineering techniques,including,malici attach deliv use social engin techniques.,deliv link malici websit malici attach use social engin techniqu,"['malici', 'attach', 'deliv', 'use', 'social', 'engin', 'techniques.']","['deliv', 'link', 'malici', 'websit', 'malici', 'attach', 'use', 'social', 'engin', 'techniqu']"
834,834,Capability,"which is gaining traction, is watering hole attacks, where",1,The second method is watering hole attacks,including,gain traction water hole attack,second method water hole attack,"['gain', 'traction', 'water', 'hole', 'attack']","['second', 'method', 'water', 'hole', 'attack']"
835,835,Capability,"attacks, where the attacker infects a website that has",1,the attacker infects a website that has a high likelihood of being visited by the intended victim,exfiltrate,attack attack infect websit ha,attack infect websit ha high likelihood visit intend victim,"['attack', 'attack', 'infect', 'websit', 'ha']","['attack', 'infect', 'websit', 'ha', 'high', 'likelihood', 'visit', 'intend', 'victim']"
836,836,Capability,the intended victim. By using IP address filters before,1,the attacker IP address filters using before infecting any visitor of such sites,encrypts,intend victim. use ip address filter befor,attack ip address filter use befor infect ani visitor site,"['intend', 'victim.', 'use', 'ip', 'address', 'filter', 'befor']","['attack', 'ip', 'address', 'filter', 'use', 'befor', 'infect', 'ani', 'visitor', 'site']"
837,837,Capability,time. Some groups carefully plan watering hole attacks. For,1,Some groups plan watering hole attacks,writes,time. group care plan water hole attacks.,group plan water hole attack,"['time.', 'group', 'care', 'plan', 'water', 'hole', 'attacks.']","['group', 'plan', 'water', 'hole', 'attack']"
838,838,Capability,days later the group resumed the watering hole attack,1,the group resumed the watering hole attack using a different exploit,probes,day later group resum water hole attack,group resum water hole attack use differ exploit,"['day', 'later', 'group', 'resum', 'water', 'hole', 'attack']","['group', 'resum', 'water', 'hole', 'attack', 'use', 'differ', 'exploit']"
839,839,Capability,"the same physical location, posing as a genuine Wi-Fi",1,posing as a genuine Wi-Fi hotspot,sends,physic locat pose genuin wi-fi,pose genuin wi-fi hotspot,"['physic', 'locat', 'pose', 'genuin', 'wi-fi']","['pose', 'genuin', 'wi-fi', 'hotspot']"
840,840,Capability,enable the attacker to swap an update of legitimate,1,the attacker swap an update of legitimate software for a maliciously crafted version,over- writes,enabl attack swap updat legitim,attack swap updat legitim softwar malici craft version,"['enabl', 'attack', 'swap', 'updat', 'legitim']","['attack', 'swap', 'updat', 'legitim', 'softwar', 'malici', 'craft', 'version']"
841,841,Capability,that the infected system is first analyzed to ensure that it,1,is first analyzed the infected system to ensure that it is of interest to them,renames,infect system first analyz ensur,first analyz infect system ensur interest,"['infect', 'system', 'first', 'analyz', 'ensur']","['first', 'analyz', 'infect', 'system', 'ensur', 'interest']"
842,842,Capability,instances they might even use zero-day vulnerabilities to spread,1,they use zero-day vulnerabilities to spread further into the network,deletes,instanc might even use zero-day vulner spread,use zero-day vulner spread network,"['instanc', 'might', 'even', 'use', 'zero-day', 'vulner', 'spread']","['use', 'zero-day', 'vulner', 'spread', 'network']"
843,843,Capability,"package, they can easily infect all connected systems at",1,they infect all connected systems at once,frustrate,packag easili infect connect system,infect connect system onc,"['packag', 'easili', 'infect', 'connect', 'system']","['infect', 'connect', 'system', 'onc']"
844,844,Capability,more relevance is the hijacking of local software distribution,1,hijacking local software distribution systems for further distribution,employed,relev hijack local softwar distribut,hijack local softwar distribut system distribut,"['relev', 'hijack', 'local', 'softwar', 'distribut']","['hijack', 'local', 'softwar', 'distribut', 'system', 'distribut']"
845,845,Capability,"used might try and autonomously infect removable drives, like USB",1,"the malware autonomously infect removable drives, like USB sticks, or project files for PLCs",thwarted,use might tri autonom infect remov drive like usb,malwar autonom infect remov drive like usb stick project file plc,"['use', 'might', 'tri', 'autonom', 'infect', 'remov', 'drive', 'like', 'usb']","['malwar', 'autonom', 'infect', 'remov', 'drive', 'like', 'usb', 'stick', 'project', 'file', 'plc']"
846,846,Capability,"malware to be manually introduced to the destination network,",1,the malware introduced to the destination network,encrypts,malwar manual introduc destin network,malwar introduc destin network,"['malwar', 'manual', 'introduc', 'destin', 'network']","['malwar', 'introduc', 'destin', 'network']"
847,847,Capability,"of the carrier, essentially jumping air gaps into isolated",1,the malware jumping air gaps into isolated networks,are encrypted,carrier essenti jump air gap isol,malwar jump air gap isol network,"['carrier', 'essenti', 'jump', 'air', 'gap', 'isol']","['malwar', 'jump', 'air', 'gap', 'isol', 'network']"
848,848,Capability,infected networks and have identified systems with interesting data,1,the attackers identified systems with interesting data or with connected industrial control systems,are generated,infect network identifi system interest data,attack identifi system interest data connect industri control system,"['infect', 'network', 'identifi', 'system', 'interest', 'data']","['attack', 'identifi', 'system', 'interest', 'data', 'connect', 'industri', 'control', 'system']"
849,849,Capability,and the threat may be installed through a web browser,1,be installed through by the threat a web browser exploiting an application,uses,threat may instal web browser,instal threat web browser exploit applic,"['threat', 'may', 'instal', 'web', 'browser']","['instal', 'threat', 'web', 'browser', 'exploit', 'applic']"
850,850,Capability,files show that Regin originated from Yahoo! Instant Messenger,1,Regin Yahoo! Instant Messenger originated from through an unconfirmed exploit,communicated,file show regin origin yahoo! instant messeng,regin yahoo! instant messeng origin unconfirm exploit,"['file', 'show', 'regin', 'origin', 'yahoo!', 'instant', 'messeng']","['regin', 'yahoo!', 'instant', 'messeng', 'origin', 'unconfirm', 'exploit']"
851,851,Capability,exploit code. Stage 1 is the initial load point,1,Stage 1 is the initial load point for the threat,connect,exploit code. stage initi load point,stage initi load point threat,"['exploit', 'code.', 'stage', 'initi', 'load', 'point']","['stage', 'initi', 'load', 'point', 'threat']"
852,852,Capability,are kernel drivers that load and execute Stage 2. These kernel,1,kernel drivers Stage 2 load and execute,discover,kernel driver load execut stage 2. kernel,kernel driver stage load execut,"['kernel', 'driver', 'load', 'execut', 'stage', '2.', 'kernel']","['kernel', 'driver', 'stage', 'load', 'execut']"
853,853,Capability,associated registry key to load the driver while the,1,kernel drivers load the driver,sends,associ registri key load driver,kernel driver load driver,"['associ', 'registri', 'key', 'load', 'driver']","['kernel', 'driver', 'load', 'driver']"
854,854,Capability,up. Stage 1 simply reads and executes Stage 2 from a,1,Stage 1 Stage 2 reads and executes from a set of NTFS extended attributes,is revealed,up. stage simpli read execut stage,stage stage read execut set ntf extend attribut,"['up.', 'stage', 'simpli', 'read', 'execut', 'stage']","['stage', 'stage', 'read', 'execut', 'set', 'ntf', 'extend', 'attribut']"
855,855,Capability,"are found, Stage 2 is executed from a set of",1,Stage 2 is executed from a set of registry keys,targeted,found stage execut set,stage execut set registri key,"['found', 'stage', 'execut', 'set']","['stage', 'execut', 'set', 'registri', 'key']"
856,856,Capability,"kernel driver that simply extracts, installs and runs Stage 3. Stage 2",1,"Stage 2 Stage 3 extracts, installs and runs",sent,kernel driver simpli extract instal run stage 3. stage,stage stage extract instal run,"['kernel', 'driver', 'simpli', 'extract', 'instal', 'run', 'stage', '3.', 'stage']","['stage', 'stage', 'extract', 'instal', 'run']"
857,857,Capability,"previous stages, Stage 2 finds and loads an encrypted version of",1,Stage 2 finds and loads an encrypted version of Stage 3 from either NTFS extended attributes or a registry key blob,received,previou stage stage find load encrypt version,stage find load encrypt version stage either ntf extend attribut registri key blob,"['previou', 'stage', 'stage', 'find', 'load', 'encrypt', 'version']","['stage', 'find', 'load', 'encrypt', 'version', 'stage', 'either', 'ntf', 'extend', 'attribut', 'registri', 'key', 'blob']"
858,858,Capability,"the threat. This stage drops the file msrdc64.dat, which",1,This stage drops the file msrdc64.dat,received,threat. thi stage drop file  dat-file,thi stage drop file  dat-file,"['threat.', 'thi', 'stage', 'drop', 'file', 'dat-file']","['thi', 'stage', 'drop', 'file', 'dat-file']"
859,859,Capability,"2. In addition to loading and executing Stage 4, Stage 3",1,Stage 3 Stage 4 loading and executing,sent,2. addit load execut stage stage,stage stage load execut,"['2.', 'addit', 'load', 'execut', 'stage', 'stage']","['stage', 'stage', 'load', 'execut']"
860,860,Capability,"for Stage 4, which are loaded by Stage 3, consist",1,Stage 3 The files for Stage 4 are loaded,records,stage load stage consist,stage file stage load,"['stage', 'load', 'stage', 'consist']","['stage', 'file', 'stage', 'load']"
861,861,Capability,files for Stage 5 are injected into services.exe by Stage,1,Stage 4 The files for Stage 5 are injected into services.exe,used,file stage inject services.ex stage,stage file stage inject services.ex,"['file', 'stage', 'inject', 'services.ex', 'stage']","['stage', 'file', 'stage', 'inject', 'services.ex']"
862,862,Capability,"Furthermore, compromised computers can serve as a proxy for",1,compromised computers serve as a proxy for other infections,include,furthermor compromis comput serv proxi,compromis comput serv proxi infect,"['furthermor', 'compromis', 'comput', 'serv', 'proxi']","['compromis', 'comput', 'serv', 'proxi', 'infect']"
863,863,Capability,enables stealthy Regin can be distributed with various payload modules,1,Regin be distributed with various payload modules,including,enabl stealthi regin distribut variou payload modul,regin distribut variou payload modul,"['enabl', 'stealthi', 'regin', 'distribut', 'variou', 'payload', 'modul']","['regin', 'distribut', 'variou', 'payload', 'modul']"
864,864,Capability,2012.04.11 18:31:48 6.0 To ensure only single instance of,1,the module ensure only single instance of the module is running,including,2012.04.11 18:31:48 6.0 ensur onli singl instanc,modul ensur onli singl instanc modul run,"['2012.04.11', '18:31:48', '6.0', 'ensur', 'onli', 'singl', 'instanc']","['modul', 'ensur', 'onli', 'singl', 'instanc', 'modul', 'run']"
865,865,Capability,running. Next the module makes sure only one instance of,1,the module makes sure only one instance of current code is running by checking if system mutex object named «920111215» exists,including,running. next modul make sure onli one instanc,modul make sure onli one instanc current code run check system mutex object name «920111215» exist,"['running.', 'next', 'modul', 'make', 'sure', 'onli', 'one', 'instanc']","['modul', 'make', 'sure', 'onli', 'one', 'instanc', 'current', 'code', 'run', 'check', 'system', 'mutex', 'object', 'name', '«920111215»', 'exist']"
866,866,Capability,is used to selectively infiltrate into other computers via,1,This component USB infiltrate into via other computers,including,use select infiltr comput via,thi compon usb infiltr via comput,"['use', 'select', 'infiltr', 'comput', 'via']","['thi', 'compon', 'usb', 'infiltr', 'via', 'comput']"
867,867,Capability,is used to selectively infiltrate into other computers via,1,This component infiltrate into via other computers network shares,including,use select infiltr comput via,thi compon infiltr via comput network share,"['use', 'select', 'infiltr', 'comput', 'via']","['thi', 'compon', 'infiltr', 'via', 'comput', 'network', 'share']"
868,868,Capability,legitimate files that have been infected by another Darkhotel component.,1,another Darkhotel component These files been infected,including,legitim file infect anoth darkhotel component.,anoth darkhotel compon file infect,"['legitim', 'file', 'infect', 'anoth', 'darkhotel', 'component.']","['anoth', 'darkhotel', 'compon', 'file', 'infect']"
869,869,Capability,"files detected as Virus.Win32.Pioneer.dx are infected legitimate files, that",1,Host package files detected as Virus.Win32.Pioneer.dx are infected legitimate files,seeds,file detect infect legitim file,host packag file detect infect legitim file,"['file', 'detect', 'infect', 'legitim', 'file']","['host', 'packag', 'file', 'detect', 'infect', 'legitim', 'file']"
870,870,Capability,has quietly continued to send waves of spearphishing messages,1,the actors responsible for Operation Clandestine Fox send waves of spearphishing messages over the past few months,slowing,ha quietli continu send wave spearphish messag,actor respons oper clandestin fox send wave spearphish messag past month,"['ha', 'quietli', 'continu', 'send', 'wave', 'spearphish', 'messag']","['actor', 'respons', 'oper', 'clandestin', 'fox', 'send', 'wave', 'spearphish', 'messag', 'past', 'month']"
871,871,Capability,"28, we observed APT3 sending out spearphishing messages containing",1,APT3 sending out spearphishing messages containing a compressed executable attachment,receive,28 observ apt3 send spearphish messag contain,apt3 send spearphish messag contain compress execut attach,"['28', 'observ', 'apt3', 'send', 'spearphish', 'messag', 'contain']","['apt3', 'send', 'spearphish', 'messag', 'contain', 'compress', 'execut', 'attach']"
872,872,Capability,that they will also attack targets with known exploits,1,they attack targets with known exploits or social engineering,include,also attack target known exploit,attack target known exploit social engin,"['also', 'attack', 'target', 'known', 'exploit']","['attack', 'target', 'known', 'exploit', 'social', 'engin']"
873,873,Capability,"exploitation tool used to infect other systems, download additional",1,a post exploitation tool infect other systems,use,exploit tool use infect system download addit,post exploit tool infect system,"['exploit', 'tool', 'use', 'infect', 'system', 'download', 'addit']","['post', 'exploit', 'tool', 'infect', 'system']"
874,874,Capability,a possible attempt to socially engineer the intended victim into,1,The use of the Chrome icon socially engineer the intended victim into thinking the dropper was a legitimate file associated with Google,share,possibl attempt social engin intend victim,use chrome icon social engin intend victim think dropper wa legitim file associ googl,"['possibl', 'attempt', 'social', 'engin', 'intend', 'victim']","['use', 'chrome', 'icon', 'social', 'engin', 'intend', 'victim', 'think', 'dropper', 'wa', 'legitim', 'file', 'associ', 'googl']"
875,875,Capability,"is present, the malware replaces its previous instances or",1,the malware replaces its previous instances or versions of this backdoor,presents,present malwar replac previou instanc,malwar replac previou instanc version thi backdoor,"['present', 'malwar', 'replac', 'previou', 'instanc']","['malwar', 'replac', 'previou', 'instanc', 'version', 'thi', 'backdoor']"
876,876,Capability,"to load, presumably to avoid a CROWDSTRIKE S E",1,the driver avoid multiple instances of itself,contained,load presum avoid crowdstrik,driver avoid multipl instanc,"['load', 'presum', 'avoid', 'crowdstrik']","['driver', 'avoid', 'multipl', 'instanc']"
877,877,Capability,address 175.45.178.xx was found scanning South Korean routes the,1,the North Korean IP address 175.45.178.xx South Korean routes scanning,causing,address 175.45.178.xx wa found scan south korean rout,north korean ip address 175.45.178.xx south korean rout scan,"['address', '175.45.178.xx', 'wa', 'found', 'scan', 'south', 'korean', 'rout']","['north', 'korean', 'ip', 'address', '175.45.178.xx', 'south', 'korean', 'rout', 'scan']"
878,878,Capability,"GonDad was used to spread the malware, and the",1,the Chinese exploit kit GonDad spread the malware,masquerades,gondad wa use spread malwar,chines exploit kit gondad spread malwar,"['gondad', 'wa', 'use', 'spread', 'malwar']","['chines', 'exploit', 'kit', 'gondad', 'spread', 'malwar']"
879,879,Capability,"suggests targeted email attacks were used to gain initial entry,",1,were used targeted email attacks to gain initial entry,masquerading,suggest target email attack use gain initi entri,use target email attack gain initi entri,"['suggest', 'target', 'email', 'attack', 'use', 'gain', 'initi', 'entri']","['use', 'target', 'email', 'attack', 'gain', 'initi', 'entri']"
880,880,Capability,exploit is used to deliver malware and one was,1,this exploit deliver malware,entices,exploit use deliv malwar one wa,thi exploit deliv malwar,"['exploit', 'use', 'deliv', 'malwar', 'one', 'wa']","['thi', 'exploit', 'deliv', 'malwar']"
881,881,Capability,"assembly programming, and the use of zero-day exploits for",1,MiniDuke use zero-day exploits for distribution,infecting,assembl program use zero-day exploit,miniduk use zero-day exploit distribut,"['assembl', 'program', 'use', 'zero-day', 'exploit']","['miniduk', 'use', 'zero-day', 'exploit', 'distribut']"
882,882,Capability,Japanese organizations. The exploit is sent to the targeted organizations,1,The exploit is sent to through the targeted organizations emails with a malicious Ichitaro document file attached,using,japanes organizations. exploit sent target organ,exploit sent target organ email malici ichitaro document file attach,"['japanes', 'organizations.', 'exploit', 'sent', 'target', 'organ']","['exploit', 'sent', 'target', 'organ', 'email', 'malici', 'ichitaro', 'document', 'file', 'attach']"
883,883,Capability,attachment with Ichitaro will drop the payload and display,1,Opening the malicious attachment with Ichitaro drop the payload,use,attach ichitaro drop payload display,open malici attach ichitaro drop payload,"['attach', 'ichitaro', 'drop', 'payload', 'display']","['open', 'malici', 'attach', 'ichitaro', 'drop', 'payload']"
884,884,Capability,a payload. All attacks arrive on the target computers,1,All attacks arrive on as the target computers an attachment to email messages,targeting,payload. attack arriv target comput,attack arriv target comput attach email messag,"['payload.', 'attack', 'arriv', 'target', 'comput']","['attack', 'arriv', 'target', 'comput', 'attach', 'email', 'messag']"
885,885,Capability,messages. Mostly the attachments are in a simple executable,1,the attachments are in with a simple executable format a fake icon,received,messages. mostli attach simpl execut,attach simpl execut format fake icon,"['messages.', 'mostli', 'attach', 'simpl', 'execut']","['attach', 'simpl', 'execut', 'format', 'fake', 'icon']"
886,886,Capability,zero-day vulnerability. The emails include password-protected .zip files containing,1,The emails include password-protected .zip files containing the malware,was sent,zero-day vulnerability. email includ password-protect .zip file contain,email includ password-protect .zip file contain malwar,"['zero-day', 'vulnerability.', 'email', 'includ', 'password-protect', '.zip', 'file', 'contain']","['email', 'includ', 'password-protect', '.zip', 'file', 'contain', 'malwar']"
887,887,Capability,This is merely to trick the recipient into believing,1,This trick the recipient into believing the email is from a legitimate and trustworthy source,resulted,thi mere trick recipi believ,thi trick recipi believ email legitim trustworthi sourc,"['thi', 'mere', 'trick', 'recipi', 'believ']","['thi', 'trick', 'recipi', 'believ', 'email', 'legitim', 'trustworthi', 'sourc']"
888,888,Capability,receipt. The email also requests that the recipient open,1,The email requests that the recipient open the attachment on a Windows computer,is infected,receipt. email also request recipi open,email request recipi open attach window comput,"['receipt.', 'email', 'also', 'request', 'recipi', 'open']","['email', 'request', 'recipi', 'open', 'attach', 'window', 'comput']"
889,889,Capability,"Backdoor.Emdivi, a threat that opens a back door on",1,a threat opens a back door on the compromised computer,involved, emd-file threat open back door,threat open back door compromis comput,"['emd-file', 'threat', 'open', 'back', 'door']","['threat', 'open', 'back', 'door', 'compromis', 'comput']"
890,890,Capability,in Japan. The attackers sent a Microsoft Word file,1,The attackers sent a Microsoft Word file containing a maliciously crafted SWF file that exploited the vulnerability,loaded,japan. attack sent microsoft word file,attack sent microsoft word file contain malici craft swf file exploit vulner,"['japan.', 'attack', 'sent', 'microsoft', 'word', 'file']","['attack', 'sent', 'microsoft', 'word', 'file', 'contain', 'malici', 'craft', 'swf', 'file', 'exploit', 'vulner']"
891,891,Capability,"server and having it act as a ‘watering hole’, meaning",1,it act as a ‘watering hole’,downloaded,server act ‘water hole mean,act ‘water hole,"['server', 'act', '‘water', 'hole', 'mean']","['act', '‘water', 'hole']"
892,892,Capability,of the attackers having compromised the ‘GOM Player’ update,1,the attackers compromised the ‘GOM Player’ update server,downloaded,attack compromis ‘gom player updat,attack compromis ‘gom player updat server,"['attack', 'compromis', '‘gom', 'player', 'updat']","['attack', 'compromis', '‘gom', 'player', 'updat', 'server']"
893,893,Capability,which access the site are delivered malware. Gom Player originates,1,are delivered malware machines which access the site,ran,access site deliv malware. gom player origin,deliv malwar machin access site,"['access', 'site', 'deliv', 'malware.', 'gom', 'player', 'origin']","['deliv', 'malwar', 'machin', 'access', 'site']"
894,894,Capability,took place via the compromise of the GOM Player,1,attackers compromise the GOM Player update server (app.gomlab.com),download,took place via compromis gom player,attack compromis gom player updat server  com-file,"['took', 'place', 'via', 'compromis', 'gom', 'player']","['attack', 'compromis', 'gom', 'player', 'updat', 'server', 'com-file']"
895,895,Capability,where attackers may have gained entry via a PHP-based,1,attackers gained entry via a PHP-based webshell,install,attack may gain entri via php-base,attack gain entri via php-base webshel,"['attack', 'may', 'gain', 'entri', 'via', 'php-base']","['attack', 'gain', 'entri', 'via', 'php-base', 'webshel']"
896,896,Capability,reported to have only manifested themselves for visitors on,1,these alterations manifested themselves for visitors on certain IP ranges,installs,report onli manifest themselv visitor,alter manifest themselv visitor certain ip rang,"['report', 'onli', 'manifest', 'themselv', 'visitor']","['alter', 'manifest', 'themselv', 'visitor', 'certain', 'ip', 'rang']"
897,897,Capability,update and the malware was deliver to the victim. Modified,1,was deliver to a file containing both the legitimate update and the malware the victim,installed,updat malwar wa deliv victim. modifi,wa deliv file contain legitim updat malwar victim,"['updat', 'malwar', 'wa', 'deliv', 'victim.', 'modifi']","['wa', 'deliv', 'file', 'contain', 'legitim', 'updat', 'malwar', 'victim']"
898,898,Capability,WHITE Page 5 / Deployed to the system via,1,Deployed the malware via to a compressed bundle containing the official GOM Player setup binary and a self-extracting RAR archive containing the malicious files the system,were obfuscated,white page deploy system via,deploy malwar via compress bundl contain offici gom player setup binari self-extract rar archiv contain malici file system,"['white', 'page', 'deploy', 'system', 'via']","['deploy', 'malwar', 'via', 'compress', 'bundl', 'contain', 'offici', 'gom', 'player', 'setup', 'binari', 'self-extract', 'rar', 'archiv', 'contain', 'malici', 'file', 'system']"
899,899,Capability,the installer component (0ae82fd94836815a1e8d284ccb75109d) is automatically launched alongside the GOM Player,1,is automatically launched the installer component (0ae82fd94836815a1e8d284ccb75109d) alongside the GOM Player update,adds,instal compon hash-code automat launch alongsid gom player,automat launch instal compon hash-code alongsid gom player updat,"['instal', 'compon', 'hash-code', 'automat', 'launch', 'alongsid', 'gom', 'player']","['automat', 'launch', 'instal', 'compon', 'hash-code', 'alongsid', 'gom', 'player', 'updat']"
900,900,Capability,utilising DLL load order hijacking alongside a signed (trusted),1,DLL load order hijacking alongside a signed (trusted) executable,overwrite,utilis dll load order hijack alongsid sign trust,dll load order hijack alongsid sign trust execut,"['utilis', 'dll', 'load', 'order', 'hijack', 'alongsid', 'sign', 'trust']","['dll', 'load', 'order', 'hijack', 'alongsid', 'sign', 'trust', 'execut']"
901,901,Capability,"campaign<fn>4</fn>, where Gh0st RAT was spread via watering hole attacks",1,Gh0st RAT was spread via watering hole attacks utilising vulnerable websites belonging to financial services and technology companies,modify,system-path  gh0st rat wa spread via water hole attack,gh0st rat wa spread via water hole attack utilis vulner websit belong financi servic technolog compani,"['system-path', 'gh0st', 'rat', 'wa', 'spread', 'via', 'water', 'hole', 'attack']","['gh0st', 'rat', 'wa', 'spread', 'via', 'water', 'hole', 'attack', 'utilis', 'vulner', 'websit', 'belong', 'financi', 'servic', 'technolog', 'compani']"
902,902,Capability,of sensitive data and enabling the further propagation throughout,1,additional malware enabling the further propagation throughout the infected network,is loaded,sensit data enabl propag throughout,addit malwar enabl propag throughout infect network,"['sensit', 'data', 'enabl', 'propag', 'throughout']","['addit', 'malwar', 'enabl', 'propag', 'throughout', 'infect', 'network']"
903,903,Capability,JavaScript that had been added to legitimate code on,1,added malicious JavaScript to legitimate code,injects,javascript ad legitim code,ad malici javascript legitim code,"['javascript', 'ad', 'legitim', 'code']","['ad', 'malici', 'javascript', 'legitim', 'code']"
904,904,Capability,Power website is still serving up malicious code. Volexity recommends,1,the People Power website serving up malicious code,propa- gate,power websit still serv malici code. volex recommend,peopl power websit serv malici code,"['power', 'websit', 'still', 'serv', 'malici', 'code.', 'volex', 'recommend']","['peopl', 'power', 'websit', 'serv', 'malici', 'code']"
905,905,Capability,of decoy documents that were used in conjunction with BITTERBUG,1,were used decoy documents in conjunction with,ac- cesses,decoy document use conjunct bitterbug,use decoy document conjunct,"['decoy', 'document', 'use', 'conjunct', 'bitterbug']","['use', 'decoy', 'document', 'conjunct']"
906,906,Capability,"in late summer 2013, using a ""leaked report"" lure",1,"One of these samples using a ""leaked report"" lure which contained a decoy document related to Pakistan's alleged inability to locate Osama Bin Laden",continued,late summer  use leak report lure,one sampl use leak report lure contain decoy document relat pakistan' alleg inabl locat osama bin laden,"['late', 'summer', 'use', 'leak', 'report', 'lure']","['one', 'sampl', 'use', 'leak', 'report', 'lure', 'contain', 'decoy', 'document', 'relat', ""pakistan'"", 'alleg', 'inabl', 'locat', 'osama', 'bin', 'laden']"
907,907,Capability,observed several new lures used in BITTERBUG self-extracting RAR,1,BITTERBUG self-extracting RAR (SFXRAR) files used several new lures in,used,observ sever new lure use bitterbug self-extract rar,bitterbug self-extract rar sfxrar file use sever new lure,"['observ', 'sever', 'new', 'lure', 'use', 'bitterbug', 'self-extract', 'rar']","['bitterbug', 'self-extract', 'rar', 'sfxrar', 'file', 'use', 'sever', 'new', 'lure']"
908,908,Capability,several BITTERBUG variants and used a decoy PDF document,1,"One from December used a decoy PDF document (Figure 12) related to the December arrest of Devyani Khobragade, an Indian diplomat in the United States",received,sever bitterbug variant use decoy pdf document,one decemb use decoy pdf document figur 12 relat decemb arrest devyani khobragad indian diplomat unit state,"['sever', 'bitterbug', 'variant', 'use', 'decoy', 'pdf', 'document']","['one', 'decemb', 'use', 'decoy', 'pdf', 'document', 'figur', '12', 'relat', 'decemb', 'arrest', 'devyani', 'khobragad', 'indian', 'diplomat', 'unit', 'state']"
909,909,Capability,"In spring 2014, we observed a SFXRAR file with",1,we observed a SFXRAR file with a filename lure related to the March 2014 disappearance of Malaysis Airlines Flight 370 (cast as a Pakistan-related hijacking),used,spring  observ sfxrar file,observ sfxrar file filenam lure relat march  disappear malaysi airlin flight 370 cast pakistan-rel hijack,"['spring', 'observ', 'sfxrar', 'file']","['observ', 'sfxrar', 'file', 'filenam', 'lure', 'relat', 'march', 'disappear', 'malaysi', 'airlin', 'flight', '370', 'cast', 'pakistan-rel', 'hijack']"
