,Unnamed: 0,label,text-rel,label_num,tokens,text-neigh,token,text-rel-processed,text-neigh-processed,text-rel-tokens,text-neigh-tokens
1001,1001,ActionName,The malware AhnLab and Hauri AV antivirus products disable,1,spread and launch,The malware attempted to disable AhnLab and Hauri AV,spread and launch,malwar ahnlab hauri av antiviru product disabl,malwar attempt disabl ahnlab hauri av,"['malwar', 'ahnlab', 'hauri', 'av', 'antiviru', 'product', 'disabl']","['malwar', 'attempt', 'disabl', 'ahnlab', 'hauri', 'av']"
1002,1002,ActionName,The wiper kill the processes pasvc.exe and clisvc.exe,1,gaining,Windows utility 'taskkill' to kill the processes pasvc.exe and,gaining,wiper kill process pasvc.ex clisvc.ex,window util 'taskkill' kill process pasvc.ex,"['wiper', 'kill', 'process', 'pasvc.ex', 'clisvc.ex']","['window', 'util', ""'taskkill'"", 'kill', 'process', 'pasvc.ex']"
1003,1003,ActionName,"The bash script wipe the /kernel, /usr /etc and /home directories",1,delivered,"and then attempts to wipe the /kernel, /usr /etc",delivered,bash script wipe system-path  system-path  system-path  system-path  directori,attempt wipe system-path  system-path  system-path ,"['bash', 'script', 'wipe', 'system-path', 'system-path', 'system-path', 'system-path', 'directori']","['attempt', 'wipe', 'system-path', 'system-path', 'system-path']"
1004,1004,ActionName,it stop the following processes,1,delivered,"it first attempts to stop the following processes, presumably",delivered,stop follow process,first attempt stop follow process presum,"['stop', 'follow', 'process']","['first', 'attempt', 'stop', 'follow', 'process', 'presum']"
1005,1005,ActionName,It enumerates all physical drives,1,communicated,from Hauri It then enumerates all physical drives and,communicated,enumer physic drive,hauri enumer physic drive,"['enumer', 'physic', 'drive']","['hauri', 'enumer', 'physic', 'drive']"
1006,1006,ActionName,It locates the root directory on these drives,1,upload,"removable and fixed drives, locates the root directory on",upload,locat root directori drive,remov fix drive locat root directori,"['locat', 'root', 'directori', 'drive']","['remov', 'fix', 'drive', 'locat', 'root', 'directori']"
1007,1007,ActionName,It is shut down and rebooted the affected computer,1,controlled,"Finally, the affected computer is shut down and rebooted although if the wiping",controlled,shut reboot affect comput,final affect comput shut reboot although wipe,"['shut', 'reboot', 'affect', 'comput']","['final', 'affect', 'comput', 'shut', 'reboot', 'although', 'wipe']"
1008,1008,ActionName,is subsequently loaded by the payload calling kernel32!LoadLibraryA,1,spearphished,file named a.l which is subsequently loaded by calling kernel32!LoadLibraryA. An,spearphished,subsequ load payload call,file name a.l subsequ load call,"['subsequ', 'load', 'payload', 'call']","['file', 'name', 'a.l', 'subsequ', 'load', 'call']"
1009,1009,ActionName,is registered this DLL as the Open command when a drive is open,1,stores,folder. Finally this DLL is registered as the Open command,stores,regist thi dll open command drive open,folder. final thi dll regist open command,"['regist', 'thi', 'dll', 'open', 'command', 'drive', 'open']","['folder.', 'final', 'thi', 'dll', 'regist', 'open', 'command']"
1010,1010,ActionName,The installer adding entries to in the registry the following locations,1,pushed,"the malware persistence mechanism, adding entries to the registry",pushed,instal ad entri registri follow locat,malwar persist mechan ad entri registri,"['instal', 'ad', 'entri', 'registri', 'follow', 'locat']","['malwar', 'persist', 'mechan', 'ad', 'entri', 'registri']"
1011,1011,ActionName,BITTERBUG listing running processes,1,were hacked,"uploading and downloading files, listing running processes, generating file",were hacked,bitterbug list run process,upload download file list run process gener file,"['bitterbug', 'list', 'run', 'process']","['upload', 'download', 'file', 'list', 'run', 'process', 'gener', 'file']"
1012,1012,ActionName,BITTERBUG perform an HTTP GET request for the following URI,1,download,OPERATION BITTERBUG then may perform an HTTP GET request,download,bitterbug perform http get request follow uri,oper bitterbug may perform http get request,"['bitterbug', 'perform', 'http', 'get', 'request', 'follow', 'uri']","['oper', 'bitterbug', 'may', 'perform', 'http', 'get', 'request']"
1013,1013,ActionName,BITTERBUG scan through each drive letter,1,downloaded,"the Next, BITTERBUG may scan through each drive letter",downloaded,bitterbug scan drive letter,next bitterbug may scan drive letter,"['bitterbug', 'scan', 'drive', 'letter']","['next', 'bitterbug', 'may', 'scan', 'drive', 'letter']"
1014,1014,ActionName,The Scanbox framework collects a small amount of information about the victim that is visiting the compromised website,1,installs,it will use and collects a small amount of,installs,scanbox framework collect small amount inform victim visit compromis websit,use collect small amount,"['scanbox', 'framework', 'collect', 'small', 'amount', 'inform', 'victim', 'visit', 'compromis', 'websit']","['use', 'collect', 'small', 'amount']"
1015,1015,ActionName,the framework extract different information from the victim,1,uses,contains several plugins to extract different information from the,uses,framework extract differ inform victim,contain sever plugin extract differ inform,"['framework', 'extract', 'differ', 'inform', 'victim']","['contain', 'sever', 'plugin', 'extract', 'differ', 'inform']"
1016,1016,ActionName,the framework Javascript Implements a keylogger functionality trough,1,used,Java versions Pluginid 21: Implements a keylogger functionality trough,used,framework javascript implement keylogg function trough,java version pluginid 21: implement keylogg function trough,"['framework', 'javascript', 'implement', 'keylogg', 'function', 'trough']","['java', 'version', 'pluginid', '21:', 'implement', 'keylogg', 'function', 'trough']"
1017,1017,ActionName,The VBScript sets a startup key in the HKCU\Software\Microsoft\Windows\CurrentVersion\Run registry path,1,writes,versions. The VBScript then sets a startup key in,writes,vbscript set startup key hash-code registri path,versions. vbscript set startup key,"['vbscript', 'set', 'startup', 'key', 'hash-code', 'registri', 'path']","['versions.', 'vbscript', 'set', 'startup', 'key']"
1018,1018,ActionName,load it from memory,1,runs,"original dll (95Num3p3gm.dll, presumably), load it from memory and",runs,load memori,origin dll  dll-file presum load memori,"['load', 'memori']","['origin', 'dll', 'dll-file', 'presum', 'load', 'memori']"
1019,1019,ActionName,a call to a subfunction loads the PE image into memory,1,drops,to a subfunction that loads the PE image into,drops,call subfunct load pe imag memori,subfunct load pe imag,"['call', 'subfunct', 'load', 'pe', 'imag', 'memori']","['subfunct', 'load', 'pe', 'imag']"
1020,1020,ActionName,a call free the PE image allocation from memory,1,is always encrypted,by a call to free the PE image allocation,is always encrypted,call free pe imag alloc memori,call free pe imag alloc,"['call', 'free', 'pe', 'imag', 'alloc', 'memori']","['call', 'free', 'pe', 'imag', 'alloc']"
1021,1021,ActionName,This configuration information load the encrypted file into memory,1,drop,information is used to load the encrypted file into,drop,thi configur inform load encrypt file memori,inform use load encrypt file,"['thi', 'configur', 'inform', 'load', 'encrypt', 'file', 'memori']","['inform', 'use', 'load', 'encrypt', 'file']"
1022,1022,ActionName,is freed the memory once they have completed,1,drops,have completed the memory is freed This makes these modules,drops,freed memori onc complet,complet memori freed thi make modul,"['freed', 'memori', 'onc', 'complet']","['complet', 'memori', 'freed', 'thi', 'make', 'modul']"
1023,1023,ActionName,921.bin retrieves a list of running processes with all loaded modules in each,1,adds,is being used. 921.bin retrieves several datapoints about the,adds, bin-file retriev list run process load modul,used.  bin-file retriev sever datapoint,"['bin-file', 'retriev', 'list', 'run', 'process', 'load', 'modul']","['used.', 'bin-file', 'retriev', 'sever', 'datapoint']"
1024,1024,ActionName,it hooks a minimum number of kernel API functions in order to hide different pieces of information,1,setting,static analysis and it hooks a minimum number of,setting,hook minimum number kernel api function order hide differ piec inform,static analysi hook minimum number,"['hook', 'minimum', 'number', 'kernel', 'api', 'function', 'order', 'hide', 'differ', 'piec', 'inform']","['static', 'analysi', 'hook', 'minimum', 'number']"
1025,1025,ActionName,The Driver hiding directories,1,ensures,"Driver is capable of hiding processes (by PID, not",ensures,driver hide directori,driver capabl hide process pid,"['driver', 'hide', 'directori']","['driver', 'capabl', 'hide', 'process', 'pid']"
1026,1026,ActionName,the Driver In order to hooks various Windows Kernel API calls hide these items,1,contains,"these items, the Driver hooks various Windows Kernel API",contains,driver order hook variou window kernel api call hide item,item driver hook variou window kernel api,"['driver', 'order', 'hook', 'variou', 'window', 'kernel', 'api', 'call', 'hide', 'item']","['item', 'driver', 'hook', 'variou', 'window', 'kernel', 'api']"
1027,1027,ActionName,the Driver hooks the API function,1,is used,function that the Driver hooks Item API Function Hooked,is used,driver hook api function,function driver hook item api function hook,"['driver', 'hook', 'api', 'function']","['function', 'driver', 'hook', 'item', 'api', 'function', 'hook']"
1028,1028,ActionName,the Driver access the memory of the services.exe process,1,be uploaded,"services, the Driver will access the memory of the",be uploaded,driver access memori services.ex process,servic driver access memori,"['driver', 'access', 'memori', 'services.ex', 'process']","['servic', 'driver', 'access', 'memori']"
1029,1029,ActionName,the Driver remove the service entry that the Driver wishes to hide,1,utilize,list of services and remove the service entry that,utilize,driver remov servic entri driver wish hide,list servic remov servic entri,"['driver', 'remov', 'servic', 'entri', 'driver', 'wish', 'hide']","['list', 'servic', 'remov', 'servic', 'entri']"
1030,1030,ActionName,"the Driver IoCreateDevice calling with the name \Device\agony (for Gen 2.0 Beta samples), \Device\HTTPS (for Gen 2.1 samples), \Device\advcachemgr (for Gen 2.2 samples) or \Device\diskdump (for Gen 2.3 samples)",1,communicate,expose its interface by calling IoCreateDevice with the name,communicate,driver iocreatedevic call name system-path  gen 2.0 beta sampl system-path  gen 2.1 sampl system-path  gen 2.2 sampl system-path  gen 2.3 sampl,expos interfac call iocreatedevic name,"['driver', 'iocreatedevic', 'call', 'name', 'system-path', 'gen', '2.0', 'beta', 'sampl', 'system-path', 'gen', '2.1', 'sampl', 'system-path', 'gen', '2.2', 'sampl', 'system-path', 'gen', '2.3', 'sampl']","['expos', 'interfac', 'call', 'iocreatedevic', 'name']"
1031,1031,ActionName,an attacker is install the DLL as at a service some point prior to activation,1,communicates,"service, requiring an attacker is install the DLL as a",communicates,attack instal dll servic point prior activ,servic requir attack instal dll,"['attack', 'instal', 'dll', 'servic', 'point', 'prior', 'activ']","['servic', 'requir', 'attack', 'instal', 'dll']"
1032,1032,ActionName,both exports generate a new thread of the same function (mainThread),1,is downloaded,"DllRegisterServer. Ultimately, both exports generate a new thread of",is downloaded,export gener new thread function mainthread,dllregisterserver. ultim export gener new thread,"['export', 'gener', 'new', 'thread', 'function', 'mainthread']","['dllregisterserver.', 'ultim', 'export', 'gener', 'new', 'thread']"
1033,1033,ActionName,DllRegisterServer calling without the u parameter,1,uploads,to DllEntryPoint or by calling DllRegisterServer without the u,uploads,dllregisterserv call without paramet,dllentrypoint call dllregisterserv without,"['dllregisterserv', 'call', 'without', 'paramet']","['dllentrypoint', 'call', 'dllregisterserv', 'without']"
1034,1034,ActionName,the DLL generating a new thread (HikitThreadFunc) which will service any request coming from the new channel,1,were uploaded,runtime data structure before generating a new thread (HikitThreadFunc),were uploaded,dll gener new thread hikitthreadfunc servic ani request come new channel,runtim data structur befor gener new thread hikitthreadfunc,"['dll', 'gener', 'new', 'thread', 'hikitthreadfunc', 'servic', 'ani', 'request', 'come', 'new', 'channel']","['runtim', 'data', 'structur', 'befor', 'gener', 'new', 'thread', 'hikitthreadfunc']"
1035,1035,ActionName,Gen 2 In order for uses a loader application the DLL to load,1,contain,(starting with Gen 2.1) uses a loader application (referred,contain,gen order use loader applic dll load,start gen 2.1 use loader applic refer,"['gen', 'order', 'use', 'loader', 'applic', 'dll', 'load']","['start', 'gen', '2.1', 'use', 'loader', 'applic', 'refer']"
1036,1036,ActionName,both variants of the Loader load the embedded DLL in the exact same way,1,is compressed,variants of the Loader load the embedded DLL in,is compressed,variant loader load embed dll exact way,variant loader load embed dll,"['variant', 'loader', 'load', 'embed', 'dll', 'exact', 'way']","['variant', 'loader', 'load', 'embed', 'dll']"
1037,1037,ActionName,Both versions of the Loader loading the embedded DLL from the Loader’s resource,1,encrypted,the Loader begin by loading the embedded DLL from,encrypted,version loader load embed dll loader resourc,loader begin load embed dll,"['version', 'loader', 'load', 'embed', 'dll', 'loader', 'resourc']","['loader', 'begin', 'load', 'embed', 'dll']"
1038,1038,ActionName,Both versions of the Loader loading the DLL into using memory a custom loading routine,1,connected,"into memory, then manually loading the DLL into memory",connected,version loader load dll use memori custom load routin,memori manual load dll memori,"['version', 'loader', 'load', 'dll', 'use', 'memori', 'custom', 'load', 'routin']","['memori', 'manual', 'load', 'dll', 'memori']"
1039,1039,ActionName,LoadEmbeddedImage calls the function decodeBuffer (using the EncodingKey value) to decrypt the embedded DLL,1,exploit,heap buffer and then calls the function decodeBuffer (using,exploit,loadembeddedimag call function decodebuff use encodingkey valu decrypt embed dll,heap buffer call function decodebuff use,"['loadembeddedimag', 'call', 'function', 'decodebuff', 'use', 'encodingkey', 'valu', 'decrypt', 'embed', 'dll']","['heap', 'buffer', 'call', 'function', 'decodebuff', 'use']"
1040,1040,ActionName,LoadEmbeddedImage ImageLoaderData::LoadDll calls,1,target,"a heap buffer, LoadEmbeddedImage calls ImageLoaderData::LoadDll to manually load",target,loadembeddedimag call,heap buffer loadembeddedimag call manual load,"['loadembeddedimag', 'call']","['heap', 'buffer', 'loadembeddedimag', 'call', 'manual', 'load']"
1041,1041,ActionName,ImageLoaderData::LoadDll load the DLL into memory,1,relocate,calls ImageLoaderData::LoadDll to manually load the DLL into memory.,relocate,load dll memori,call manual load dll memory.,"['load', 'dll', 'memori']","['call', 'manual', 'load', 'dll', 'memory.']"
1042,1042,ActionName,ImageLoaderData::LoadDll calls the DllMain (DLL’s entry point) function,1,being targeted,"necessary relocation operations, and calls the DllMain (DLL’s entry",being targeted,call dllmain dll entri point function,necessari reloc oper call dllmain dll entri,"['call', 'dllmain', 'dll', 'entri', 'point', 'function']","['necessari', 'reloc', 'oper', 'call', 'dllmain', 'dll', 'entri']"
1043,1043,ActionName,the Loader loading the embedded DLL image into memory,1,running,entry point) function. After loading the embedded DLL image,running,loader load embed dll imag memori,entri point function. load embed dll imag,"['loader', 'load', 'embed', 'dll', 'imag', 'memori']","['entri', 'point', 'function.', 'load', 'embed', 'dll', 'imag']"
1044,1044,ActionName,ImageLoaderData::LoadDll loads the image into the appropriate memory configuration,1,is carried out,"of the DLL image, loads the image into the",is carried out,load imag appropri memori configur,dll imag load imag,"['load', 'imag', 'appropri', 'memori', 'configur']","['dll', 'imag', 'load', 'imag']"
1045,1045,ActionName,the Loader call the DLL’s StartServer or MatrixMain function,1,taking place,the Loader will either call the DLL’s StartServer or,taking place,loader call dll startserv matrixmain function,loader either call dll startserv,"['loader', 'call', 'dll', 'startserv', 'matrixmain', 'function']","['loader', 'either', 'call', 'dll', 'startserv']"
1046,1046,ActionName,The standalone Loaders use the MatrixMain function,1,is being conducted,Loader. The standalone Loaders use the MatrixMain function while,is being conducted,standalon loader use matrixmain function,loader. standalon loader use matrixmain function,"['standalon', 'loader', 'use', 'matrixmain', 'function']","['loader.', 'standalon', 'loader', 'use', 'matrixmain', 'function']"
1047,1047,ActionName,the DLL Loaders call the StartServer function,1,performing,the DLL Loaders will call the StartServer function. The,performing,dll loader call startserv function,dll loader call startserv function.,"['dll', 'loader', 'call', 'startserv', 'function']","['dll', 'loader', 'call', 'startserv', 'function.']"
1048,1048,ActionName,The Loaders call upon the StopServer function in order to unloading shut down the embedded DLL,1,reconfiguring,"Loaders, upon unloading, will call the StopServer function in",reconfiguring,loader call upon stopserv function order unload shut embed dll,loader upon unload call stopserv function,"['loader', 'call', 'upon', 'stopserv', 'function', 'order', 'unload', 'shut', 'embed', 'dll']","['loader', 'upon', 'unload', 'call', 'stopserv', 'function']"
1049,1049,ActionName,MatrixMain and StartServer generate a new thread using instead of the POSIX API function beginthreadex the more common CreateThread,1,directed,and StartServer both ultimately generate a new thread (using,directed,matrixmain startserv gener new thread use instead posix api function beginthreadex common createthread,startserv ultim gener new thread use,"['matrixmain', 'startserv', 'gener', 'new', 'thread', 'use', 'instead', 'posix', 'api', 'function', 'beginthreadex', 'common', 'createthread']","['startserv', 'ultim', 'gener', 'new', 'thread', 'use']"
1050,1050,ActionName,the DLL install itself as on a service the victim’s machine,1,has,"given, the DLL will install itself as a service",has,dll instal servic victim machin,given dll instal servic,"['dll', 'instal', 'servic', 'victim', 'machin']","['given', 'dll', 'instal', 'servic']"
1051,1051,ActionName,The DLL create a new service,1,drops,machine. The DLL will create a new service (e.g.,drops,dll creat new servic,machine. dll creat new servic e.g.,"['dll', 'creat', 'new', 'servic']","['machine.', 'dll', 'creat', 'new', 'servic', 'e.g.']"
1052,1052,ActionName,the RAT functionality code creates a service with the driver in the %TEMP% directory as the executable for the service,1,installs,the RAT functionality code creates a service with the,installs,rat function code creat servic driver %temp% directori execut servic some-variable,rat function code creat servic,"['rat', 'function', 'code', 'creat', 'servic', 'driver', '%temp%', 'directori', 'execut', 'servic', 'some-variable']","['rat', 'function', 'code', 'creat', 'servic']"
1053,1053,ActionName,The RAT functionality code activates the service,1,is dumped,RAT functionality code then activates the service and opens,is dumped,rat function code activ servic,rat function code activ servic open,"['rat', 'function', 'code', 'activ', 'servic']","['rat', 'function', 'code', 'activ', 'servic', 'open']"
1054,1054,ActionName,the RAT functionality code deletes the service in order to reduce the visible footprint of the new driver,1,is registered,the RAT functionality code deletes the service in order,is registered,rat function code delet servic order reduc visibl footprint new driver,rat function code delet servic order,"['rat', 'function', 'code', 'delet', 'servic', 'order', 'reduc', 'visibl', 'footprint', 'new', 'driver']","['rat', 'function', 'code', 'delet', 'servic', 'order']"
1055,1055,ActionName,Gen 2 samples produce up to three named events,1,make,"perspective, Gen 2 samples produce up to three named",make,gen sampl produc three name event,perspect gen sampl produc three name,"['gen', 'sampl', 'produc', 'three', 'name', 'event']","['perspect', 'gen', 'sampl', 'produc', 'three', 'name']"
1056,1056,ActionName,This worm Windows SMB shares propagate via,1,is written,force authentication attack to propagate via Windows SMB shares.,is written,thi worm window smb share propag via,forc authent attack propag via window smb shares.,"['thi', 'worm', 'window', 'smb', 'share', 'propag', 'via']","['forc', 'authent', 'attack', 'propag', 'via', 'window', 'smb', 'shares.']"
1057,1057,ActionName,is established a file share,1,hide,"guessed, a file share is established and file is copied",hide,establish file share,guess file share establish file copi,"['establish', 'file', 'share']","['guess', 'file', 'share', 'establish', 'file', 'copi']"
1058,1058,ActionName,installed a dropper as a service,1,is,"loaded via a dropper installed as a service, then",is,instal dropper servic,load via dropper instal servic,"['instal', 'dropper', 'servic']","['load', 'via', 'dropper', 'instal', 'servic']"
1059,1059,ActionName,The malware propagate throughout via the target network built-in Windows shares,1,used,has the ability to propagate throughout the target network,used,malwar propag throughout via target network built-in window share,ha abil propag throughout target network,"['malwar', 'propag', 'throughout', 'via', 'target', 'network', 'built-in', 'window', 'share']","['ha', 'abil', 'propag', 'throughout', 'target', 'network']"
1060,1060,ActionName,the malware access remote network shares,1,are infected,"systems, the malware will access remote network shares in",are infected,malwar access remot network share,system malwar access remot network share,"['malwar', 'access', 'remot', 'network', 'share']","['system', 'malwar', 'access', 'remot', 'network', 'share']"
1061,1061,ActionName,The malware access shares on the remote systems,1,is upgraded,uses several methods to access shares on the remote,is upgraded,malwar access share remot system,use sever method access share remot,"['malwar', 'access', 'share', 'remot', 'system']","['use', 'sever', 'method', 'access', 'share', 'remot']"
1062,1062,ActionName,"create a new share cmd.exe /q /c net share shared$=%SystemRoot% /GRANT:everyone, FULL",1,are run,\\hostname\admin$\system32 and \\hostname\shared$\system32 or create a new share cmd.exe,are run,creat new share cmd.ex system-path  system-path  net share shared$=%systemroot% system-path  full some-variable,creat new share cmd.ex,"['creat', 'new', 'share', 'cmd.ex', 'system-path', 'system-path', 'net', 'share', 'shared$=%systemroot%', 'system-path', 'full', 'some-variable']","['creat', 'new', 'share', 'cmd.ex']"
1063,1063,ActionName,Checking for via existing shares \\hostname\admin$\system32 and \\hostname\shared$\system32,1,obtain,to begin wiping files. Checking for existing shares via,obtain,check via exist share,begin wipe files. check exist share via,"['check', 'via', 'exist', 'share']","['begin', 'wipe', 'files.', 'check', 'exist', 'share', 'via']"
1064,1064,ActionName,is removed via the remote network share cmd.exe /q /c net share shared$ /delete,1,deploy,the remote network share is removed via cmd.exe /q /c,deploy,remov via remot network share cmd.ex system-path  system-path  net share shared$ system-path ,remot network share remov via cmd.ex system-path  system-path ,"['remov', 'via', 'remot', 'network', 'share', 'cmd.ex', 'system-path', 'system-path', 'net', 'share', 'shared$', 'system-path']","['remot', 'network', 'share', 'remov', 'via', 'cmd.ex', 'system-path', 'system-path']"
1065,1065,ActionName,it started a second instance of itself with -i as an argument,1,use,"file was executed, it started a second instance of",use,start second instanc cmd-param argument,file wa execut start second instanc,"['start', 'second', 'instanc', 'cmd-param', 'argument']","['file', 'wa', 'execut', 'start', 'second', 'instanc']"
1066,1066,ActionName,it terminated,1,run,"an argument, and then terminated The second instance of",run,termin,argument termin second instanc,['termin'],"['argument', 'termin', 'second', 'instanc']"
1067,1067,ActionName,The second instance of the dropper file started the service,1,target,"a command line argument, started the service, and then",target,second instanc dropper file start servic,command line argument start servic,"['second', 'instanc', 'dropper', 'file', 'start', 'servic']","['command', 'line', 'argument', 'start', 'servic']"
1068,1068,ActionName,The second instance of the dropper file terminated,1,load,"the service, and then terminated The WinsSchMgmt service executed",load,second instanc dropper file termin,servic termin winsschmgmt servic execut,"['second', 'instanc', 'dropper', 'file', 'termin']","['servic', 'termin', 'winsschmgmt', 'servic', 'execut']"
1069,1069,ActionName,The WinsSchMgmt service started another instance of the file using -s as an argument,1,using,"as an argument, which started another instance of the",using,winsschmgmt servic start anoth instanc file use cmd-param argument,argument start anoth instanc,"['winsschmgmt', 'servic', 'start', 'anoth', 'instanc', 'file', 'use', 'cmd-param', 'argument']","['argument', 'start', 'anoth', 'instanc']"
1070,1070,ActionName,A 120-minute (2 hour) sleep command is issued,1,attempt,(2 hour) sleep command is issued after which the computer,attempt,120-minut hour sleep command issu,hour sleep command issu comput,"['120-minut', 'hour', 'sleep', 'command', 'issu']","['hour', 'sleep', 'command', 'issu', 'comput']"
1071,1071,ActionName,is shut down and rebooted the computer,1,exploit,after which the computer is shut down and rebooted Name: iissvr.exe Size: 114688,exploit,shut reboot comput,comput shut reboot name: iissvr.ex size: 114688,"['shut', 'reboot', 'comput']","['comput', 'shut', 'reboot', 'name:', 'iissvr.ex', 'size:', '114688']"
1072,1072,ActionName,this malware Internet Explorer adding to several registry keys,1,exploit,line tool cmd.exe for adding several registry keys to,exploit,thi malwar internet explor ad sever registri key,line tool cmd.ex ad sever registri key,"['thi', 'malwar', 'internet', 'explor', 'ad', 'sever', 'registri', 'key']","['line', 'tool', 'cmd.ex', 'ad', 'sever', 'registri', 'key']"
1073,1073,ActionName,it launch an instance of Internet Explorer,1,exploit,of the COM to launch an instance of Internet,exploit,launch instanc internet explor,com launch instanc internet,"['launch', 'instanc', 'internet', 'explor']","['com', 'launch', 'instanc', 'internet']"
1074,1074,ActionName,it creates several registry entries with the help of the command line tool,1,dropped,"functionality. Once again, it creates several registry entries with",dropped,creat sever registri entri help command line tool,functionality. onc creat sever registri entri,"['creat', 'sever', 'registri', 'entri', 'help', 'command', 'line', 'tool']","['functionality.', 'onc', 'creat', 'sever', 'registri', 'entri']"
1075,1075,ActionName,it creates an instance of the Internet Explorer,1,use,command line tool and creates an instance of the,use,creat instanc internet explor,command line tool creat instanc,"['creat', 'instanc', 'internet', 'explor']","['command', 'line', 'tool', 'creat', 'instanc']"
1076,1076,ActionName,"dropper loads up a resource named ""BINARY"" from the resource section",1,inject,"When executed, the dropper loads up a resource named ""BINARY""",inject,dropper load resourc name binari resourc section,execut dropper load resourc name binari,"['dropper', 'load', 'resourc', 'name', 'binari', 'resourc', 'section']","['execut', 'dropper', 'load', 'resourc', 'name', 'binari']"
1077,1077,ActionName,dropper creates the directory C:\Documents and Settings\User\Application Data\JAVA,1,has,the resource section then creates the directory C:\Documents and,has,dropper creat directori system-path  system-path  system-path ,resourc section creat directori system-path ,"['dropper', 'creat', 'directori', 'system-path', 'system-path', 'system-path']","['resourc', 'section', 'creat', 'directori', 'system-path']"
1078,1078,ActionName,dropper calls regedit with kb71271.log as a parameter to modify the registry,1,takes,"Data\\JAVA\\JavaSvc.exe"" The dropper then calls regedit with kb71271.log as",takes,dropper call regedit  log-file paramet modifi registri,dropper call regedit  log-file,"['dropper', 'call', 'regedit', 'log-file', 'paramet', 'modifi', 'registri']","['dropper', 'call', 'regedit', 'log-file']"
1079,1079,ActionName,is delivered the RC4 key to the bot,1,trick,then the RC4 key is delivered to the bot in,trick,deliv rc4 key bot,rc4 key deliv bot,"['deliv', 'rc4', 'key', 'bot']","['rc4', 'key', 'deliv', 'bot']"
1080,1080,ActionName,Etumbot discovers the proxy settings of the local machine,1,using,Threat Intelligence Brief Etumbot discovers the proxy settings of,using,etumbot discov proxi set local machin,threat intellig brief etumbot discov proxi set,"['etumbot', 'discov', 'proxi', 'set', 'local', 'machin']","['threat', 'intellig', 'brief', 'etumbot', 'discov', 'proxi', 'set']"
1081,1081,ActionName,Etumbot load strings into memory that has been called byte strings and also string stacking,1,trick,uses a technique to load strings into memory that,trick,etumbot load string memori ha call byte string also string stack,use techniqu load string memori,"['etumbot', 'load', 'string', 'memori', 'ha', 'call', 'byte', 'string', 'also', 'string', 'stack']","['use', 'techniqu', 'load', 'string', 'memori']"
1082,1082,ActionName,Customized private tools with functions include process enumeration,1,was distributed,"tools with functions that include ARP poisoning, encryption, credential",was distributed,custom privat tool function includ process enumer,tool function includ arp poison encrypt credenti,"['custom', 'privat', 'tool', 'function', 'includ', 'process', 'enumer']","['tool', 'function', 'includ', 'arp', 'poison', 'encrypt', 'credenti']"
1083,1083,ActionName,connect outbound via anonymous FTP,1,contains,"options;declare%20@b2%20varchar(8000);set%20@b2=%20xp_ cmdshell;%20EXEC%20master.dbo.sp_configure%20@b1,%201;RECONFIGURE;EXEC%20master.dbo. sp_configure%20@b2,%201;RECONFIGURE;--%20 Then connect outbound via anonymous FTP:",contains,connect outbound via anonym ftp,hash-code hash-code hash-code connect outbound via anonym ftp:,"['connect', 'outbound', 'via', 'anonym', 'ftp']","['hash-code', 'hash-code', 'hash-code', 'connect', 'outbound', 'via', 'anonym', 'ftp:']"
1084,1084,ActionName,it display a window to input proxy information,1,drops,"the Internet, it will display a window to input",drops,display window input proxi inform,internet display window input,"['display', 'window', 'input', 'proxi', 'inform']","['internet', 'display', 'window', 'input']"
1085,1085,ActionName,the résumé submitter When does a GET request to in order to the victim hits submit microsoft.com make it seem like it is submitting something,1,is,"submit, the résumé submitter does a GET request to",is,résumé submitt doe get request order victim hit submit  com-file make seem like submit someth,submit résumé submitt doe get request,"['résumé', 'submitt', 'doe', 'get', 'request', 'order', 'victim', 'hit', 'submit', 'com-file', 'make', 'seem', 'like', 'submit', 'someth']","['submit', 'résumé', 'submitt', 'doe', 'get', 'request']"
1086,1086,ActionName,Cleaver Operations FTP servers utilized with in order to anonymous access enabled pilfer large quantities of information,1,connects,observed in 2013 mainly utilized FTP servers with anonymous,connects,cleaver oper ftp server util order anonym access enabl pilfer larg quantiti inform,observ  mainli util ftp server anonym,"['cleaver', 'oper', 'ftp', 'server', 'util', 'order', 'anonym', 'access', 'enabl', 'pilfer', 'larg', 'quantiti', 'inform']","['observ', 'mainli', 'util', 'ftp', 'server', 'anonym']"
1087,1087,ActionName,These FTP servers were also observed during the infection process,1,are commanded,"detected. These FTP servers were also observed during the infection process,",are commanded,ftp server also observ dure infect process,detected. ftp server also observ dure infect process,"['ftp', 'server', 'also', 'observ', 'dure', 'infect', 'process']","['detected.', 'ftp', 'server', 'also', 'observ', 'dure', 'infect', 'process']"
1088,1088,ActionName,FTP servers were used in the infection of targets,1,deliver,hosted FTP servers that were used in the infection of,deliver,ftp server use infect target,host ftp server use infect,"['ftp', 'server', 'use', 'infect', 'target']","['host', 'ftp', 'server', 'use', 'infect']"
1089,1089,ActionName,FTP servers were used in the exfiltration of information,1,commanded,hosted FTP servers that were used in the infection of,commanded,ftp server use exfiltr inform,host ftp server use infect,"['ftp', 'server', 'use', 'exfiltr', 'inform']","['host', 'ftp', 'server', 'use', 'infect']"
