,text-rel,token,ActionName,Capability
950,The attacks incorporating effective so- cial engineering,incorporating,-,infection_propagation
951,The attacks include spyware for ongoing monitoring,include,-,other
952,The attacks include the use of IP spy links to deanonymize those who voice dissent,include,-,other
953,spear-phishing attacks drop a custom downloader,drop,Network,-
954,this malware enumerates libraries’ export address table (EAT),enumerates,Other,-
955,that Cmstar uses a URL as its command and control (C2) location,uses,-,command_and_control
956,Cmstar HTTP requests create to communicate with its C2 server,create,Other,command_and_control
957,a 752-byte piece of shellcode carries out communications with the C2 server,carries out,-,command_and_control
958,a 752-byte piece of shellcode HTTP POST requests sending to the following URL,sending,Other,-
959,The Cmstar sample associated with the MNKIT delivery document creates the following registry key to automatically execute at system startup,creates,Other,-
960,the Trojan gathers data from the infected machine,gathers,-,other
961,the malware author writes log messages to the ‘DF64159.TMP’ file,writes,-,other
962,the Cmstar downloader gathers system-specific information to send to the C2 server,gathers,-,other
963,the Cmstar sample Kaspersky’s Anti-virus product (avp.exe) running on the compromised system looks for,looks for,-,other
964,The Cmstar tool used a hashing algorithm to on find antivirus processes an infected system,used,-,other
965,The Cmstar tool manually creating its import address table using to an API function name character offset mapping techniques,manually creating,-,other
966,"utilizes compromised, legitimate websites for spear phishing",utilizes,-,infection_propagation
967,The current CozyCar campaign includes spear phishing emails that deliver the payload from either by a link to a .zip file on a compromised website or by direct delivery as an attachment to the phish,includes,-,infection_propagation
968,The secondary dropper cleans up after with itself a simple vbs script,cleans up,-,other
969,the secondary dll file serve as a cleanup mechanism for the dropped binary,serve,-,other
970,the Trojan issue an HTTPS request to the C2 server,issue,-,command_and_control
971,the C2 server JSON blobs responding to with beacons from the Trojan,responding,-,command_and_control
972,allows the threat actors to carry out a full range of activities on the system,allows,-,command_and_control
973,LMS.exe load any DLL file name dbghelp.dll that is found in the same path,load,Other,-
974,The malicious DLL loads a backdoor binary blob MD5,loads,Other,other
975,The malware connects back to the exploit domain pic.nicklockluckydog.org the subdomain ssl.nicklockluckydog.org,connects back,Network,command_and_control
976,the downloader download additional malware on the victim's system,download,Network,other
977,the downloader execute additional malware on the victim's system,execute,File,other
978,the downloader connect to a compromised website,connect,Other,-
979,the downloader download an encrypted malicious payload,download,Network,other
980,the downloader execute an encrypted malicious payload,execute,File,other
981,it Microsoft's cloud storage service OneDrive relies on as its command and control channel,relies on,-,command_and_control
982,OneDriveSolution copy data from to the victim's computer the OneDrive account,copy,-,other
983,It search the OneDrive account for files containing commands for the malware to execute,search,-,command_and_control
984,the same loader load it in memory,load,Other,-
985,the same loader execute it,execute,Other,-
986,written two additional files to the victim's hard disk,written,File,-
987,the downloader download additional malware on the victim's system,download,Network,other
988,the downloader execute additional malware on the victim's system,execute,File,other
989,the downloader connect to a compromised website,connect,Other,-
990,the downloader download an encrypted malicious payload,download,Network,other
991,the downloader execute an encrypted malicious payload,execute,File,other
992,OneDriveSolution copy data from to the victim's computer the OneDrive account,copy,-,other
993,It search the OneDrive account for files containing commands for the malware to execute,search,-,command_and_control
994,the same loader load it in memory,load,Other,-
995,the same loader execute it,execute,Other,-
996,written two additional files to the victim's hard disk,written,File,-
997,BlackEnergy custom plugins DDoS attacks launching,launching,Network,other
998,BlackEnergy2 downloading more crimeware plugins - a custom spam plugin and a banking information stealer custom plugin,downloading,-,other
999,another crimeware group DDoS attacks launch,launch,-,other
1000,main.dll is downloaded a configuration file from on the server an infected system,is downloaded,Network,command_and_control
1001,The 'vsnet' plugin PsExec spread and launch a payload (BlackEnergy2 dropper itself at the moment) in the local network using,spread and launch,-,infection_propagation
1002,The 'vsnet' plugin gaining primary information on the user's computer and network,gaining,-,other
1003,The server delivered config files,delivered,-,other
1004,the same server delivered the ARM module,delivered,-,other
1005,Linux Hook main module communicated with the same CnC server,communicated,Network,command_and_control
1006,the attackers upload specific plugins,upload,-,other
1007,the attackers controlled infected MIPS/ARM devices,controlled,-,other
1008,The BE2 attackers spearphished an organization,spearphished,-,infection_propagation
1009,BE2 stores the downloaded plugins,stores,File,other
1010,the attackers pushed the 'dstr' module,pushed,-,other
1011,were hacked their Cisco routers with different IOS versions,were hacked,-,infection_propagation
1012,The script download ciscoapi.tcl from a certain FTP server,download,-,other
1013,"Siemens ""ccprojectmgr.exe"" downloaded a handful of different payloads",downloaded,Network,other
1014,BE dropper installs its driver,installs,Network,other
1015,BE2 uses start menu locations for persistence,uses,-,other
1016,"RedOctober used a very similarly named spearphish: ""Diplomatic Car for Sale.doc""",used,-,infection_propagation
1017,it writes an encrypted Visual Basic Script,writes,File,other
1018,runs it,runs,File,-
1019,This VBScript drops a pair of files on disk,drops,-,other
1020,The payload is always encrypted with a unique key,is always encrypted,-,other
1021,several different spear-phishing documents drop uniquely named payloads,drop,-,other
1022,E211C2BAD9A83A6A4247EC3959E2A730 drops the following files,drops,-,other
1023,The VBS adds a registry key: HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Run\,adds,Other,-
1024,"The VBS setting the key ""bookstore"" to the value ""regsvr32 %path%\ctfmonrn.dll /s""",setting,Other,-
1025,The VBS ensures,ensures,-,other
1026,an encrypted configuration block contains information about the C&C sever,contains,-,command_and_control
1027,is used a WebDAV URL for connections,is used,Network,command_and_control
1028,be uploaded data from the victim,be uploaded,Network,other
1029,The Cloud Atlas implants utilize a rather unusual C&C mechanism,utilize,-,command_and_control
1030,"All the malware samples we've seen HTTPS and WebDav communicate via with the same server ""cloudme.com"", a cloud services provider",communicate,-,command_and_control
1031,Each malware set we have observed so far communicates with a different CloudMe account,communicates,-,command_and_control
1032,the implant is downloaded data,is downloaded,Network,command_and_control
1033,the malware uploads the replies back to via the server the same mechanism,uploads,Network,command_and_control
1034,the malware The files stored in the randomly named folder were uploaded,were uploaded,Network,other
1035,"The files stored in the randomly named folder contain various things, such as system information, running processes and current username",contain,-,other
1036,LZMA The data is compressed with,is compressed,-,other
1037,AES The data encrypted with,encrypted,-,other
1038,only one other group connected to accounts on the cloud provider mydrive.ch,connected,-,command_and_control
1039,some of the spear-phishing documents between Cloud Atlas and RedOctober exploit the same theme,exploit,-,infection_propagation
1040,some of the spear-phishing documents between Cloud Atlas and RedOctober target the same entity at different times,target,-,infection_propagation
1041,Most Chinese-speaking attackers C&C servers relocate to a different place,relocate,-,command_and_control
1042,CloudAtlas being targeted some of the victims of RedOctober,being targeted,-,infection_propagation
1043,The Chinese running a MITM attack,running,Network,other
1044,is carried out the MITM on the 2001:252::/32 network,is carried out,Network,other
1045,IP MITM taking place,taking place,-,infection_propagation
1046,is being conducted against a MITM attack traffic between China’s nationwide education and research network CERNET and www.google.com,is being conducted,Network,other
1047,IP hijacking performing,performing,Network,other
1048,reconfiguring a router to forward the HTTPS traffic to a transparent SSL proxy,reconfiguring,Network,other
1049,March 2014 Uyghur activists directed a targeted spear-phishing e-mail at in,directed,-,infection_propagation
1050,"The e-mail has two attachments, a non-malicious JPG file and a 373 KB Microsoft Word .DOC file",has,-,infection_propagation
1051,"it drops the main module as ""net.exe""",drops,-,other
1052,the main module installs a number of other files,installs,-,other
1053,"The main C&C module is dumped into ""%SystemRoot%\system32\Windowsupdataney.dll""",is dumped,-,command_and_control
1054,"It is registered as through a service (named ""Windowsupdata"") a Windows Batch file named ""DOT.BAT""",is registered,Other,-
1055,make sure the malware isn't running multiple times,make,-,infection_propagation
1056,"The malware configuration file is written to the ""SYSTEM"" folder (as opposed to SYSTEM32)",is written,File,-
1057,the developers behind NetTraveler hide the malware's configuration,hide,-,other
1058,"the command-and-control (C&C) server is ""uyghurinfo.com""",is,-,command_and_control
1059,The primary backdoor used in the Epic attacks,used,-,other
1060,are infected via victims a sophisticated multi-stage attack,are infected,-,infection_propagation
1061,is upgraded this to more sophisticated backdoors,is upgraded,-,other
1062,are run both backdoors in tandem,are run,-,other
1063,the attackers obtain the necessary credentials without the victim noticing,obtain,-,other
1064,they deploy the rootkit and other extreme persistence mechanisms,deploy,-,other
1065,The attackers use both direct spearphishing and watering hole attacks to infect their victims,use,-,infection_propagation
1066,the Epic attackers run a vast network of watering holes,run,-,infection_propagation
1067,a vast network of watering holes target visitors with surgical precision,target,-,infection_propagation
1068,Injected websites load a remote JavaScript into the victim's browser,load,Network,infection_propagation
1069,"the attackers using ""JPG"" files to run PHP scripts",using,-,infection_propagation
1070,several versions of this script attempt various exploitation mechanisms,attempt,-,infection_propagation
1071,"One version of this script Internet Explorer versions 6, 7 and 8 exploit",exploit,-,infection_propagation
1072,Another more recent version Oracle Sun Java and Adobe Flash Player exploit,exploit,-,infection_propagation
1073,The Java files exploit a popular vulnerability in various configurations,exploit,-,infection_propagation
1074,Java exploits The payload dropped,dropped,Network,infection_propagation
1075,The Java exploit use a special loader,use,-,infection_propagation
1076,a special loader inject into the final Epic backdoor payload explorer.exe,inject,Other,other
1077,The backdoor extracted from the Java exploits has the following C&C,has,-,command_and_control
1078,takes advantage of social engineering,takes,-,infection_propagation
1079,trick the user into running a fake Flash Player,trick,-,infection_propagation
1080,them using yet another technique coupled with watering hole attacks,using,-,infection_propagation
1081,they trick into the user downloading and running a fake Microsoft Security Essentials app,trick,-,infection_propagation
1082,"This file was distributed from at the Ministry of Foreign Affairs of Tajikistan's website ""hxxp://mfa.tj/upload/security.php""",was distributed,-,infection_propagation
1083,The file contains an encrypted resource,contains,-,other
1084,This drops the malicious file with the MD5 7731d42b043865559258464fe1c98513,drops,Network,infection_propagation
1085,This is an Epic backdoor,is,-,other
1086,an Epic backdoor connects to with the following C&Cs a generic internal ID of 1156fd22- 3443-4344-c4ffff,connects,Network,command_and_control
1087,a huge network of hacked servers The Epic backdoors are commanded,are commanded,-,command_and_control
1088,a huge network of hacked servers deliver command and control functionality,deliver,-,command_and_control
1089,the Epic Turla attackers The huge network commanded,commanded,-,command_and_control
1090,function as the motherships exploitation sites,function,-,infection_propagation
1091,function as the motherships command and control panels,function,-,command_and_control
1092,The first level of command and control proxies talk to a second level of proxies,talk,-,command_and_control
1093,"a second level of proxies talk to the ""mothership"" server",talk,-,command_and_control
1094,The mothership server runs the Control panel software,runs,-,command_and_control
1095,the Control panel software interact with the victims,interact,-,command_and_control
1096,The mothership work as the exploitation servers,work,-,infection_propagation
1097,the exploitation servers used in the watering hole attacks,used,-,infection_propagation
1098,"The mothership Java, IE or fake applications delivering to the victim",delivering,-,infection_propagation
1099,the attackers define the IP ranges they are interested in,define,-,infection_propagation
1100,they decide whether to infect the visitors or not,decide,-,infection_propagation
1101,they targeted two ranges,targeted,-,infection_propagation
1102,the threat actor uses a custom backdoor,uses,-,other
1103,obfuscated the backdoor,obfuscated,-,other
1104,the backdoor achieve administrator privileges on the system,achieve,-,other
1105,the backdoor run unrestricted,run,-,other
1106,The main backdoor implements a C&C protocol on top of normal HTTP requests,implements,-,command_and_control
1107,The communication protocol uses requests in the C&C replies,uses,Other,command_and_control
1108,the malware decrypts and processes the C&C replies,decrypts and processes,-,command_and_control
1109,The replies are sent back to through the C&C the same channel,are sent,Network,command_and_control
1110,the attackers The configuration be updated via the C&C,be updated,-,command_and_control
1111,The backdoor identify the following processes,identify,Other,other
1112,it terminate itself,terminate,-,other
1113,an internal unique ID identify the victim to the C&C,identify,-,infection_propagation
1114,another Epic backdoor control this specific victim,control,-,other
1115,the attackers upload another Epic backdoor,upload,-,infection_propagation
1116,"the attackers is confirmed a victim as ""interesting""",is confirmed,-,infection_propagation
1117,the backdoor During sends a pack with the victim's system information the first C&C call,sends,Network,command_and_control
1118,All further information sent to the C&C,sent,Network,command_and_control
1119,All further information is encrypted with a public key framework,is encrypted,-,other
1120,The commands from the C&C are encrypted,are encrypted,-,other
1121,the attackers sent a large amount of commands to the victims,sent,Network,command_and_control
1122,is infected a victim,is infected,-,infection_propagation
1123,the attackers send a template of commands,send,Network,command_and_control
1124,"a victim ""checks in"" with the server","""checks in""",-,command_and_control
1125,the attackers move through using the victim's network pre-defined or collected passwords,move,-,other
1126,"the attackers find e-mails related to ""NATO"", ""Energy Dialogue within European Unition"" and so on",find,-,other
1127,the attackers RSA encryption implemented for the C&C logs,implemented,-,other
1128,the attackers upload several tools that are used for lateral movement,upload,-,other
1129,is compromised a victim,is compromised,-,infection_propagation
1130,This is a keylogger tool,is,-,other
1131,the attackers uploaded another tool to the victim's machine,uploaded,-,other
1132,the Turla attackers This backdoor called,called,-,other
1133,These top level packages deploy both updated Epic backdoors and Turla Carbon system backdoors to confirmed victims,deploy,Network,other
1134,This acts as a dropper for the following modules,acts,Network,other
1135,The payload contains a backdoor,contains,-,other
1136,The payload contains a loader/injector,contains,-,other
1137,The sample e9580b6b13822090db018c320e80865f was delivered to as several Epic victims an upgraded backdoor,was delivered,-,other
1138,the Miniduke threat actor using the same backdoor on their hacked servers,using,-,other
1139,the attackers were saved detailed victim statistics for debugging purposes,were saved,-,infection_propagation
1140,This validate the high profile victim,validate,-,infection_propagation
1141,upgraded they to the Turla Carbon system,upgraded,-,other
1142,Iranian actors DDoS attacks committed,committed,-,other
1143,suspected Iranian actors destroyed data on with thousands of computers the Shamoon virus,destroyed,File,other
1144,his group leverage varied social engineering tactics,leverage,-,infection_propagation
1145,his group lure their targets into infecting themselves with malware,lure,-,infection_propagation
1146,the Chinese hacking community engaged in denial of service attacks,engaged,-,other
1147,the Shamoon attacks wiped computers in Saudi Arabia and Qatar,wiped,File,other
1148,the Ajax Security Team lure targets into installing malicious software and/or revealing login credentials,lure,-,infection_propagation
1149,"These attack vectors include sending email, private messages via social media, fake login pages, and the propagation of anti-censorship software that has been infected with malware",include,-,infection_propagation
1150,"these attackers sent targeted emails, as well as private messages through social media",sent,-,infection_propagation
1151,the attackers targeted companies in the DIB using a fake conference page as a lure to trick targets into installing malicious software,targeted,-,infection_propagation
1152,The attackers registered the domain aeroconf2014.org in order to impersonate the IEEE Aerospace conference,registered,-,infection_propagation
1153,The attackers sent out an email with the following information,sent,-,infection_propagation
1154,The attackers used phishing attacks,used,-,infection_propagation
1155,they Web pages set up to emulate various services that require security credentials,set up,-,infection_propagation
1156,The attackers tailored these login pages for specific targets in the DIB,tailored,-,infection_propagation
1157,The attackers spoofed a variety of services such as Outlook Web Access and VPN login pages,spoofed,-,infection_propagation
1158,the attackers collect their login credentials,collect,-,other
1159,was bundled an anti-censorship tool that is primarily used by Internet users in Iran with malware,was bundled,-,infection_propagation
1160,"were distributed malware-laden versions of legitimate anti-censorship software, such as Psiphon and Ultrasurf to users Iran and Persian speaking people around the world",were distributed,-,infection_propagation
1161,They deliver this malware as a malicious executable (dropper),deliver,-,infection_propagation
1162,The executable drops the implant IntelRS.exe,drops,-,other
1163,This implant C:\ Documents and Settings\{USER}\Application Data\IntelRapidStart\ drops various other components into,drops,-,other
1164,The following files are written to in disk this location,are written,File,-
1165,it has various data collection modules,has,-,other
1166,It AppTransferWiz.dll drops via the following command,drops,-,other
1167,It AppTransferWiz.dll launches via the following command,launches,File,-
1168,AppTransferWiz.dll FTP Data exfiltration is conducted over,is conducted,-,other
1169,code HTTP POST exfiltrate data over,exfiltrate,Other,other
1170,incomplete code SFTP and SMTP exfiltration perform,perform,-,other
1171,IntelRS.exe collect data from various areas in the system as described below,collect,-,other
1172,IntelRS.exe loads a Delphi component called DelphiNative.DLL,loads,Other,-
1173,a Delphi component called DelphiNative.DLL implements some additional data theft functionality for the following,implements,-,other
1174,The Stealer component uses common techniques to acquire credential data,uses,-,other
1175,it loads vaultcli.DLL,loads,Other,-
1176,it uses various APIs shown below to acquire RDP accounts from the Windows vault,uses,-,other
1177,Harvested data is encrypted,is encrypted,-,other
1178,Harvested data written to on disk the local host,written,File,-
1179,is encrypted the data via a Rijndael cipher implementation,is encrypted,-,other
1180,Many of the malicious executables (droppers) that we collected were bundled with legitimate installers for VPN or proxy software,were bundled,-,infection_propagation
1181,was bundled 6dc7cc33a3cdcfee6c4edb6c085b869d with an installer for Ultrasurf Proxy software,was bundled,-,infection_propagation
1182,was bundled 3d26442f06b34df3d5921f89bf680ee9 with an installer for Gerdoovpn virtual private network software,was bundled,-,infection_propagation
1183,was bundled 3efd971db6fbae08e96535478888cff9 with an installer for the Psiphon proxy,was bundled,-,infection_propagation
1184,was bundled 288c91d6c0197e99b92c06496921bf2f with an installer for Proxifier software,was bundled,-,infection_propagation
1185,These droppers spoof the appearance of the above applications,spoof,-,infection_propagation
1186,These droppers contained icons used in the legitimate installers for these programs,contained,-,infection_propagation
1187,exfiltrated logs to a command-and-control (CnC) server under the groups’ control,exfiltrated,-,other
1188,an attacker configure a new Stealer backdoor,configure,-,other
1189,the new backdoor connect to with a specific CnC server a personalized username and password,connect,-,command_and_control
1190,The attacker bind the backdoor to a legitimate application of his or her choosing,bind,-,infection_propagation
1191,they cloak it with an icon designed to make the backdoor appear as though it is a legitimate file,cloak,-,infection_propagation
1192,This sample (MD5 1823b77b9ee6296a8b997ffb64d32d21) exfiltrate data to ultrasms.ir,exfiltrate,-,other
1193,used the domains in phishing attacks,used,-,infection_propagation
1194,the domains capture user credentials,capture,-,other
1195,The majority of the samples we analyzed connect to intel-update.com and update-mirror.com,connect,Network,command_and_control
1196,a sample connected to both intel- update.com and ultrasms.ir,connected,Network,command_and_control
1197,This sample connects to the aforementioned intel-update.com as well as plugin-adobe.com,connects,Network,command_and_control
1198,the sample connecting to plugin- adobe.com,connecting,Network,command_and_control
1199,were disguised malware samples as anti-censorship tools,were disguised,-,infection_propagation
1200,attackers disguised malware as in order to anti-censorship tools target the users of such tools inside Iran as well as Iranian dissidents outside the country,disguised,-,infection_propagation
1201,was used the domain aerospace2014.org in spear phishing attacks against companies in the U.S.,was used,-,infection_propagation
1202,the Ajax Security Team be using anti-censorship tools as a lure,be using,-,infection_propagation
1203,The CozyDuke toolset infecting targeted hosts,infecting,-,-
1204,The CozyDuke toolset establishing and maintaining backdoor access to the hosts,establishing and maintaining,-,other
1205,The CozyDuke toolset gathering information from them,gathering,-,other
1206,The CozyDuke toolset gaining further access to other hosts inside the victim organization,gaining,-,infection_propagation
1207,multiple kinds of droppers CozyDuke infecting hosts with,infecting,-,infection_propagation
1208,multiple kinds of droppers executing additional tools from the CozyDuke toolset,executing,-,other
1209,the CozyDuke toolset gathering further information from infected hosts,gathering,-,other
1210,the CozyDuke toolset infecting additional hosts in the same target organization,infecting,-,infection_propagation
1211,CozyDuke spread via email,spread,-,infection_propagation
1212,an executable write to disk,write,File,-
1213,an executable CozyDuke execute,execute,File,-
1214,CozyDuke downloaded droppers for DLL files reminiscent of OnionDuke,downloaded,Network,-
1215,CozyDuke executed droppers for DLL files reminiscent of OnionDuke,executed,File,-
1216,it write two files to disk,write,File,-
1217,This dropper write to the main CozyDuke components encrypted configuration file used by CozyDuke disk,write,File,-
1218,The main CozyDuke dropper checking whether the victim has an anti-virus product installed,checking,-,other
1219,Newer versions of the dropper ensure inside the dropper is not being executed a virtual machine,ensure,-,other
1220,Newer versions of the dropper ensure inside the dropper is not being executed a known malware analysis sandbox,ensure,-,other
1221,The dropper write the CozyDuke components to the specified location,write,File,-
1222,The dropper copy the system file rundll32.exe to the install location for CozyDuke,copy,File,-
1223,the dropper use the copy of rundll32.exe to load and execute the CozyDuke main component,use,Other,-
1224,the CozyDuke dropper The main component executed using a copy of rundll32.exe,executed,Other,-
1225,"The most important functionalities are the execution of additional tasks, modules or executables as commanded by the C&C server",are,-,command_and_control
1226,The most important functionalities are communication with the C&C server,are,-,command_and_control
1227,The most important functionalities are gathering of basic system information,are,-,other
1228,The most important functionalities are establishment of persistence,are,-,other
1229,CozyDuke adding a registry value to be executed at system startup,adding,Other,other
1230,CozyDuke register itself as a Windows service,register,Other,other
1231,CozyDuke register as itself scheduled task,register,Other,other
1232,CozyDuke hijack the registry entries for the COM object SharedTaskScheduler,“hijack”,Other,-
1233,CozyDuke modify the registry entries that will ensure CozyDuke stays active on the victim host,modify,Other,other
1234,the configuration data for any single CozyDuke instance included the details of either one or two C&C servers,included,-,command_and_control
1235,CozyDuke communicating with using its command and control server either HTTP or HTTPS,communicating,Other,command_and_control
1236,CozyDuke’s primary purpose is the execution of tasks,is,Other,-
1237,These tasks involve the execution of modules or executables providing additional functionality,involve,File,-
1238,the main component of CozyDuke implements 6 commands that the C&C server can specify,implements,-,other
1239,CozyDuke modules CozyDuke’s functionality extending,extending,-,other
1240,CozyDuke PE executable files write to disk,write,File,-
1241,CozyDuke PE executable files execute on the infected host,execute,File,-
1242,"the executables drop other executables, scripts or DLLs",drop,-,other
1243,APT29 adding layers of obfuscation,adding,-,other
1244,the group CnC uses compromised servers for,uses,-,command_and_control
1245,Each variant CnC instructions acquire,acquire,-,command_and_control
1246,HAMERTOSS deliver the second-stage CnC to,deliver,-,command_and_control
1247,MiniDuke CnC Twitter using for,using,-,command_and_control
1248,upload a victim’s data to a cloud storage service,upload,-,other
1249,PowerShell execute commands via,execute,-,other
1250,execute a direct command,execute,-,other
1251,execute file,execute,File,-
1252,save an executable to disk,save,File,-
1253,execute it,execute,File,-
1254,HAMMERTOSS upload information from to using victim networks accounts on cloud storage services login credentials received in Stage 4,upload,-,other
1255,the backdoor obtain a list of running tasks,obtain,Other,-
1256,the backdoor reconnaissance on the victim network,reconnaissance,-,other
1257,the backdoor upload it to using a specific account on a cloud storage service the login credentials,upload,-,other
1258,APT29 avoid detection,avoid,-,other
1259,APT29 avoid removal,avoid,-,other
1260,attackers launched a series of Distributed Denial of Service attacks (DDoS) against websites promoting democracy in Hong Kong,launched,-,other
1261,websites belonging to Next Media’s Apple Daily publication suffered from an ongoing DDoS attack that brought down its email system for hours,suffered,-,other
1262,Next Media’s network suffered a total failure as a result of these attacks,suffered,-,other
1263,a number of binaries receive instructions from a set of command and control (C2) servers,receive,Network,command_and_control
1264,a set of command and control (C2) servers instructing participating bots to attack Next Media-owned websites and the HKGolden forum,instructing,-,command_and_control
1265,These binaries drop a variant of an older DDoS tool known as KernelBot,drop,-,other
1266,they drop three files,drop,-,other
1267,The KernelBot implants C2 servers hard-coded directly into the sample receive targeting instructions from,receive,Network,command_and_control
1268,c3d6450075d618b1edba17ee723eb3ca drops a KernelBot variant,drops,-,other
1269,a KernelBot variant connects to both www.sapporo-digital-photoclub.com and wakayamasatei.com,connects,Network,command_and_control
1270,two different single-byte XOR keys encode configuration files issued by the DDOS C2 servers in this campaign,encode,-,other
1271,the C2 servers listed above issued more than 30 different unique configuration files,issued,-,command_and_control
1272,These configurations issued commands to attack the following domains and IPs,issued,-,other
1273,the attackers pushed a configuration update to four controls servers,pushed,Network,command_and_control
1274,a configuration update instructed bots under their control,instructed,-,other
1275,bots under their control UDP traffic flood 124.217.214.149 with,flood,-,other
1276,two of the active controls instructing participating bots to cease attacks,instructing,-,other
1277,all five of the known active control servers were issuing commands to cease the attacks,were issuing,-,other
1278,This PlugX variant connected to a Google Code project at code.google.com/p/udom/,connected,Network,command_and_control
1279,it decoded a command that configured its C2 server,decoded,-,command_and_control
1280,Backdoor.APT.Preshin This sample is detected as,is detected,-,other
1281,This sample C2 connected to for luxscena.com,connected,Network,command_and_control
1282,We Backdoor.APT.PISCES detect this payload as,detect,-,other
1283,it C2 used hk.java-se.com for,used,Network,command_and_control
1284,We Backdoor.APT.PISCES detect this payload as,detect,-,other
1285,it connect to u.java-se.com,connect,Network,command_and_control
1286,These ongoing DDoS attacks target the hkgolden.com website,target,-,other
1287,a KernelBot network been targeted this site with a DDoS attack,been targeted,-,other
1288,the attackers issued new instructions to their botnet,issued,-,other
1289,Most targeted attacks against organizations originate as spear-phish campaigns or watering hole style web driveby attacks,originate,-,infection_propagation
1290,cyber crime gangs perpetrate identity fraud,perpetrate,-,other
1291,cyber crime gangs perpetrate ad fraud,perpetrate,-,other
1292,cyber crime gangs perpetrate banking credential theft,perpetrate,-,other
1293,methods provide backdoor access and command and control over compromised networks,provide,-,other
1294,Threat actors switch out to the landing pages for their ads pages that host exploit kits,switch,-,infection_propagation
1295,Threat actors create a temporary redirection from their usual content to the malicious landing page,create,-,infection_propagation
1296,"been armed traditional malvertising with to a micro-targeting system using IP address ranges, geographically narrowed down to zip codes, and interests of the user (recorded in cookies) target specific companies, company types, and user interests/preferences",been armed,-,infection_propagation
1297,these threat actors weaponized ad delivery networks to target victims,weaponized,-,infection_propagation
1298,Those ad windows being used to if deliver malware the bidding price is right,being used,-,infection_propagation
1299,advanced threat actors target an organization directly based solely on via their corporate network IP range micro-targeted malvertising,target,-,infection_propagation
1300,a malvertising campaign were targeted multiple US Defense/Aerospace contractors,were targeted,-,infection_propagation
1301,were hit these organizations with dozens of micro-targeted malvertising attacks,were hit,-,infection_propagation
1302,were carried out the attacks by targeting these Defense contractors directly via real-time ad bidding,were carried out,-,infection_propagation
1303,a malicious ad delivered a backdoor Trojan via a Java-based exploit,delivered,-,other
1304,The malware installed a generic backdoor Trojan,installed,-,other
1305,delivered the exploit and malware from by an ad visiting Fleaflicker.com,delivered,-,infection_propagation
1306,the exploited Java process dropped a file called fvJcrgR0.exe,dropped,-,infection_propagation
1307,a Web server in Poland dropped the malware,dropped,-,infection_propagation
1308,this malware is a Trojan backdoor,is,-,other
1309,this malware download additional malware,download,-,other
1310,this malware provide remote persistent access to the attacker,provide,-,other
1311,"delivery.first-impression.com redirected to an IP address, not a domain name deliver its malicious payload",redirected,-,infection_propagation
1312,this was a spear-phish attack,was,-,infection_propagation
1313,the ads on the Earthlink page Java dropping the exploit code via,dropping,-,infection_propagation
1314,a new ad Java exploit,exploit,-,infection_propagation
1315,criminal enterprise being used real-time ad bidding networks to target companies with malicious content,being used,-,infection_propagation
1316,criminal enterprise gain persistent remote access,gain,-,other
1317,malicious content linking to landing pages that infect users,linking,-,infection_propagation
1318,the highest bidder for the placement serves malware,serves,-,infection_propagation
1319,"replace the redirection code to switch from a legitimate ad banner to a drop site that hosts an exploit kit, typically based on Java, Flash, Silverlight, or all three",replace,-,infection_propagation
1320,"malvertisers using these same tools and techniques to in addition to target companies with malware for persistent remote access traditional click fraud, phishing, and identity theft",using,-,infection_propagation
1321,This exploit copied a fully functional version of Chrome into the Java cache directory,copied,File,-
1322,a malvertiser delivered a Java exploit,delivered,-,infection_propagation
1323,that version of Chrome click on specific ad banners,click,-,other
1324,a background web browser does click fraud,does,-,other
1325,was almost converted the host to a click-fraud bot,was almost converted,-,other
1326,been intended the malware delivery for data exfiltration,been intended,-,other
1327,RTB ad bidding delivered malvertising via,delivered,-,infection_propagation
1328,are preconfigured the landing pages with the exploit kit,are preconfigured,-,infection_propagation
1329,malvertising Real Time Ad Bidding CryptoWall ransomware attacks delivering via,delivering,-,infection_propagation
1330,"Real Time Ad bidding platforms, including OpenX, GoogleAds, Yahoo, AOL, and first-impression.com delivering the CryptoWall 2.0 ransomware ads",delivering,-,infection_propagation
1331,"Ransomware encrypts the victim’s disk and data files, including remote storage",encrypts,-,other
1332,the attacker is delivering the malicious ads,is delivering,-,infection_propagation
1333,used 3rd party ad networks to distribute malware,used,-,infection_propagation
1334,the malicious ads exploit unsuspecting visitors with rive-by web exploits,exploit,-,infection_propagation
1335,visiting any ad-supported site result in a CryptoWall ransomware infection,result,-,infection_propagation
1336,Cryptowall 2.0 utilizes the TOR network to hide its communications,utilizes,-,other
1337,it encrypts all local files on the disk,encrypts,-,other
1338,being written the ransom note to on disk an infected machine,being written,File,-
1339,place malvertising of Cryptowall on sports.yahoo.com,place,-,infection_propagation
1340,Operation DeathClick micro-target companies via in order to malvertising compromise their networks,micro-target,-,infection_propagation
1341,the micro-targeting malvertising technique evades almost all network controls and traditional endpoint anti-virus solutions,evades,-,other
1342,attackers deliver malware to through because of you your web browser your IP address space and your industry vertical,deliver,-,infection_propagation
1343,standard Anti-Virus Most of the attacks featured here were not detected because the malware hashes constantly change,were not detected,-,other
1344,ransomware PCs locks,locks,File,-
1345,financial Trojans steal passwords and credit card details,steal,-,other
